ID;UNIDADE ESPORTIVA;TIPO;TIPO ADMINISTRACAO;SITUACAO;PREFEITURA REGIONAL;DISTRITO;EQUIPAMENTOS;QUANTIDADE DE EQUIPAMENTOS DA UNIDADE
1;BALNEARIO CARLOS JOEL NELLI;BALNEARIO;DIRETA;ATIVA;IPIRANGA;IPIRANGA;SALA MULTIUSO;2
2;BALNEARIO CARLOS JOEL NELLI;BALNEARIO;DIRETA;ATIVA;IPIRANGA;IPIRANGA;QUADRA POLIESPORTIVA;1
3;BALNEARIO CARLOS JOEL NELLI;BALNEARIO;DIRETA;ATIVA;IPIRANGA;IPIRANGA;SALA MULTIUSO 4;1
4;BALNEARIO CARLOS JOEL NELLI;BALNEARIO;DIRETA;ATIVA;IPIRANGA;IPIRANGA;SALA DE BRINQUEDOTECA;1
5;BALNEARIO CARLOS JOEL NELLI;BALNEARIO;DIRETA;ATIVA;IPIRANGA;IPIRANGA;PISCINA;1
6;BALNEARIO CARLOS JOEL NELLI;BALNEARIO;DIRETA;ATIVA;IPIRANGA;IPIRANGA;ESTACAO DE EXERCICIOS;1
7;BALNEARIO CARLOS JOEL NELLI;BALNEARIO;DIRETA;ATIVA;IPIRANGA;IPIRANGA;SALA MULTIUSO 2;1
8;BALNEARIO CARLOS JOEL NELLI;BALNEARIO;DIRETA;ATIVA;IPIRANGA;IPIRANGA;CANCHA DE BOCHA;1
9;BALNEARIO CARLOS JOEL NELLI;BALNEARIO;DIRETA;ATIVA;IPIRANGA;IPIRANGA;SALA MULTIUSO 3;1
10;BALNEARIO GERALDO ALONSO;BALNEARIO;DIRETA;ATIVA;SANTANA/TUCURUVI;SANTANA;AREA LIVRE;1
11;BALNEARIO GERALDO ALONSO;BALNEARIO;DIRETA;ATIVA;SANTANA/TUCURUVI;SANTANA;SALA MULTIUSO 3;1
12;BALNEARIO GERALDO ALONSO;BALNEARIO;DIRETA;ATIVA;SANTANA/TUCURUVI;SANTANA;ESTACAO DE EXERCICIOS;1
13;BALNEARIO GERALDO ALONSO;BALNEARIO;DIRETA;ATIVA;SANTANA/TUCURUVI;SANTANA;SALA MULTIUSO;3
14;BALNEARIO GERALDO ALONSO;BALNEARIO;DIRETA;ATIVA;SANTANA/TUCURUVI;SANTANA;QUADRA POLIESPORTIVA;1
15;BALNEARIO GERALDO ALONSO;BALNEARIO;DIRETA;ATIVA;SANTANA/TUCURUVI;SANTANA;SALA MULTIUSO 2;1
16;BALNEARIO GERALDO ALONSO;BALNEARIO;DIRETA;ATIVA;SANTANA/TUCURUVI;SANTANA;PLAY GROUND;1
17;BALNEARIO GERALDO ALONSO;BALNEARIO;DIRETA;ATIVA;SANTANA/TUCURUVI;SANTANA;PISCINA;1
18;BALNEARIO JALISCO;BALNEARIO;DIRETA;ATIVA;JABAQUARA;JABAQUARA;QUADRA DE TENIS;1
19;BALNEARIO JALISCO;BALNEARIO;DIRETA;ATIVA;JABAQUARA;JABAQUARA;SALA MULTIUSO;2
20;BALNEARIO JALISCO;BALNEARIO;DIRETA;ATIVA;JABAQUARA;JABAQUARA;QUADRA POLIESPORTIVA;1
21;BALNEARIO JALISCO;BALNEARIO;DIRETA;ATIVA;JABAQUARA;JABAQUARA;SALA MULTIUSO 3;2
22;BALNEARIO JALISCO;BALNEARIO;DIRETA;ATIVA;JABAQUARA;JABAQUARA;SALA MULTIUSO 4;1
